knowcode,description
22231,산업안전원
22232,위험관리원
22233,소방공학기술자
22234,건축안전기술자
22250,에너지시험원
22293,해양공학기술자
22294,조선공학기술자
22295,자동차공학기술자
22296,항공공학기술자
22297,원자력공학기술자
22298,인공지능전문가
22299,연구실안전전문가
22300,에너지진단전문가
22310,상하수도처리장치조작원
22320,재활용처리 및 소각로조작원
22410,인쇄기조작원
22420,사진인화 및 현상기조작원
22510,목재가공관련조작원
22521,펄프 및 종이제조장치조작원
22530,종이제품생산기조작원
22610,가구조립 및 검사원
22620,가구제조 및 수리원
22631,악기수리원 및 조율사
22640,공예원
22650,귀금속 및 보석세공원
22660,간판제작 및 설치원
22670,포장원
23210,곡식작물재배자
23219,낙농업관련종사원
23222,채소작물재배자
23230,과수작물재배자
23240,육묘 및 화훼작물재배자
23250,가축사육종사원
23310,조경원(원예사 포함)
23320,조림·영림 및 벌목원
23410,양식원
23420,어부 및 해녀
23501,농림어업관련단순종사원
24010,영관급 이상
24020,위관급
24030,부사관
16101,건설·채굴 관리자 재료공학기술자
15101,영업 및 판매관리자 메카트로닉스공학기술자
