idx,aq1_1,aq1_2,aq2_1,aq2_2,aq3_1,aq3_2,aq4_1,aq4_2,aq5_1,aq5_2,aq6_1,aq6_2,aq7_1,aq7_2,aq8_1,aq8_2,aq9_1,aq9_2,aq10_1,aq10_2,aq11_1,aq11_2,aq12_1,aq12_2,aq13_1,aq13_2,aq14_1,aq14_2,aq15_1,aq15_2,aq16_1,aq16_2,aq17_1,aq17_2,aq18_1,aq18_2,aq19_1,aq19_2,aq20_1,aq20_2,aq21_1,aq21_2,aq22_1,aq22_2,aq23_1,aq23_2,aq24_1,aq24_2,aq25_1,aq25_2,aq26_1,aq26_2,aq27_1,aq27_2,aq28_1,aq28_2,aq29_1,aq29_2,aq30_1,aq30_2,aq31_1,aq31_2,aq32_1,aq32_2,aq33_1,aq33_2,aq34_1,aq34_2,aq35_1,aq35_2,aq36_1,aq36_2,aq37_1,aq37_2,aq38_1,aq38_2,aq39_1,aq39_2,aq40_1,aq40_2,aq41_1,aq41_2,bq1,bq2,bq3,bq4,bq5,bq5_1,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13,bq14,bq15_1,bq15_2,bq15_3,bq16,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq19,bq20,bq21,bq22,bq23,bq24_1,bq24_2,bq24_3,bq24_4,bq24_5,bq24_6,bq24_7,bq24_8,bq25,bq26,bq27,bq28,bq29,bq35,bq36,bq37,bq38,bq39_1,bq39_2,bq40,bq41_1,bq41_2,bq41_3,knowcode,text_response,major
1829,5,6,3,4,4,5,1,0,2,2,1,0,2,2,3,4,3,4,4,5,5,7,5,6,3,4,4,6,3,4,3,4,1,0,1,0,5,6,1,0,1,0,1,0,1,0,4,6,4,6,3,4,3,4,4,6,3,3,3,4,3,4,4,5,4,5,3,4,2,2,2,2,2,3,3,4,4,5,1,0,1,0,18,4,1,1,2,0,7,5,4,4,4,4,4,5,2,2,2,4,4,3,4,3,4,4,2,2,3,3,4,3,3,3,4,4,3,3,3,40,2,1,1,2,1,2,2,2,2,4,3,4,2,4,1,36,4,1,4,2,1200,0,1000,414502,음악교원자격증 영상 매체 광고 것이므 프로듀서 피아노 컴퓨터 학원강사 없음 없음,작곡
1830,5,6,5,6,4,4,5,6,5,6,3,2,4,4,5,6,5,6,4,5,5,6,5,6,5,6,5,6,5,5,4,4,2,2,5,6,5,6,4,5,4,4,3,4,4,4,3,3,4,5,3,3,4,4,4,4,2,2,2,2,3,3,3,4,4,5,4,4,5,6,4,5,5,6,4,4,2,2,1,0,1,0,18,4,1,2,1,3,3,2,4,3,3,2,4,4,2,3,4,4,4,4,4,2,3,2,2,2,2,4,5,4,4,3,4,3,3,3,4,40,1,1,1,2,2,2,2,2,4,4,4,4,3,4,1,33,2,2,6,0,0,4200,0,420202,프로그램 실행 프로 선수 게임선수 컴퓨터 마우스 없다 게임감독 없다,인문계
1831,4,5,4,5,5,6,4,5,5,5,5,7,5,6,4,5,5,7,5,7,5,7,4,6,5,7,4,5,4,5,2,2,1,0,1,0,3,5,2,3,1,0,1,0,1,0,2,3,2,3,5,7,5,7,5,7,5,7,3,5,3,5,4,4,3,4,5,7,5,7,5,7,5,7,5,7,4,5,3,5,3,5,18,1,2,2,1,3,2,4,4,5,3,5,5,4,3,3,4,4,4,3,3,2,4,4,3,3,2,2,2,3,4,2,2,2,2,3,1,0,2,2,2,2,2,2,2,2,4,4,4,3,2,4,1,40,4,1,3,2,2500,0,1800,414602,발성연습 호흡관리 예술 선호 사람 감소 추세 악기 성악 없음 피아노 회사원 개인 레슨 없음,성악
1832,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,2,2,2,2,2,3,2,3,2,3,1,0,1,0,2,2,2,3,1,0,1,0,1,0,2,3,2,3,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,3,2,3,2,2,2,2,1,0,1,0,1,0,3,1,2,2,2,0,7,1,1,1,1,4,4,2,3,3,3,3,3,3,3,5,1,1,3,3,4,4,3,3,3,4,4,3,1,3,1,0,2,2,2,2,2,2,2,2,3,3,3,2,1,1,1,30,3,1,1,1,2800,0,2400,825101,선진국 비약 도장 도금 기술 발전 없다 금속 스프레이 도장 에나멜 페인트 없다 없다 없다,금속재료
1833,3,2,2,3,3,4,3,3,2,2,3,4,3,3,2,2,2,2,2,1,1,0,1,0,2,2,3,4,3,2,3,3,3,3,1,0,2,1,1,0,3,2,2,2,2,2,2,1,2,2,1,0,2,1,3,3,4,4,4,6,2,3,2,1,2,2,2,3,1,0,1,0,1,0,1,0,2,2,1,0,1,0,7,1,1,2,2,0,3,2,4,3,3,3,2,3,2,1,2,3,2,2,1,3,2,2,2,2,3,3,3,3,2,2,3,4,3,4,2,60,2,2,2,1,1,2,2,2,4,5,3,3,2,4,2,42,3,1,1,1,2500,0,1800,615401,무제 여가 문화생활 수준 때문 없다 컴퓨터 도서총판직원 각종서비스업 전문성은 띄지 않음 없다,여성교양
1834,4,5,4,5,4,5,4,5,1,0,1,0,1,0,2,2,2,2,2,2,1,0,3,4,3,4,4,5,3,3,2,2,2,2,2,2,1,0,2,3,4,5,2,2,1,0,2,2,1,0,2,2,2,2,2,2,1,0,1,0,2,2,1,0,2,2,2,2,1,0,2,2,1,0,1,0,1,0,1,0,1,0,13,1,2,1,1,3,4,5,4,4,3,4,4,2,2,3,3,3,3,3,3,2,4,3,4,4,3,2,2,2,2,2,5,4,3,2,4,30,2,2,2,2,2,2,2,2,4,4,4,2,2,3,1,40,4,1,1,1,4800,0,2700,153105,전기기사 개정된 시행규칙 계속 정밀 진단 사람 전기기사 램프 메카 테스 터기 없다 없다 없다,전기공학
1835,3,4,4,3,4,3,1,0,1,0,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,5,4,4,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,3,4,3,3,4,4,4,3,4,3,4,3,3,3,4,4,4,5,4,3,3,3,3,4,4,4,3,4,4,5,4,3,4,4,5,4,17,4,1,1,1,2,2,6,4,4,4,4,4,3,3,4,3,3,3,3,3,2,4,4,3,3,3,3,3,3,2,2,3,3,2,3,4,20,2,2,2,1,1,1,2,2,4,4,3,4,3,3,1,39,5,2,6,0,0,9000,0,301401,치과의사 치아치료시험 치아교정 기본 치아 시술 관리 상존 없다 익스 프로 스케 핸드 피스 없다 없다 없다,치의학
1836,5,6,5,6,4,4,5,6,5,6,4,5,5,6,5,6,5,6,4,4,3,3,5,6,4,4,5,6,5,6,4,4,4,4,5,6,3,3,4,4,3,3,5,6,5,6,5,6,5,6,4,4,3,2,3,3,3,3,3,3,2,1,2,1,3,3,4,4,4,4,4,4,4,4,3,3,3,2,2,1,3,3,15,2,5,1,1,4,4,5,4,5,5,4,4,3,3,3,4,4,4,4,3,2,4,5,3,3,4,4,3,4,2,4,4,3,3,3,4,40,1,1,1,2,1,1,2,2,4,4,3,4,3,2,1,41,4,1,1,1,4200,0,3400,621402,5급향해사 공간지각력 해양 안전 대한 관심 때문 기관사 폐쇄회 모니터 없다 항해사 없다,항해
1837,2,2,3,3,3,3,4,5,3,4,3,4,3,3,2,4,2,3,3,3,2,3,2,2,3,4,3,4,3,4,4,5,4,5,4,5,4,5,4,5,3,4,4,5,4,5,4,5,2,2,3,3,3,4,2,3,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,3,4,2,3,2,3,19,1,1,2,1,3,7,3,4,4,3,4,4,3,3,4,4,3,4,4,3,2,3,4,4,4,3,3,2,3,4,3,3,3,2,3,5,20,1,2,2,2,2,2,2,2,4,4,4,4,3,3,1,50,3,1,1,1,2000,0,2000,812201,선박기계에 대한 장비 지식 수요 변화 없다 공구 장갑 없다 없다 없다,기계
1838,3,5,4,5,2,2,2,2,2,3,2,3,1,0,5,7,5,7,5,6,2,2,1,0,1,0,2,4,1,0,1,0,2,3,1,0,3,5,1,0,1,0,1,0,1,0,4,5,3,5,4,5,4,5,3,4,1,0,1,0,4,5,2,3,4,5,2,3,2,3,1,0,1,0,1,0,4,6,1,0,1,0,15,2,2,1,2,0,7,5,5,5,5,5,4,5,5,5,5,4,4,4,4,2,5,5,2,2,2,2,4,3,4,3,3,2,2,3,4,70,2,1,1,1,1,1,1,1,4,4,4,4,2,3,2,34,4,1,1,1,2900,0,2100,413201,2급정사서 자동화 시스템 발달 없다 도서 감응 목록,문헌정보학
1839,1,0,2,2,2,1,3,2,3,3,3,4,2,1,2,1,2,1,2,1,1,0,3,3,2,1,2,2,2,1,2,3,3,3,3,4,3,2,1,0,1,0,3,4,1,0,2,2,3,3,2,2,2,1,2,1,2,1,2,2,2,1,2,1,1,0,2,1,1,0,3,3,2,2,2,2,1,0,1,0,2,1,3,1,5,2,2,0,7,2,4,3,3,4,4,2,4,4,4,4,4,4,3,3,2,2,4,3,3,3,1,3,2,2,2,3,1,3,1,0,2,1,1,1,2,2,2,2,4,4,4,4,2,2,1,29,2,1,1,1,3000,0,2400,821101,철강 산업 없다 선반 안구 장갑 없다 없다 없다,기계
1840,2,2,1,0,2,3,2,2,1,0,3,4,1,0,1,0,1,0,3,3,2,2,1,0,3,4,1,0,2,4,1,0,3,4,2,2,1,0,5,4,2,3,4,5,1,0,1,0,1,0,4,4,3,3,3,3,2,2,1,0,2,2,3,3,1,0,1,0,1,0,1,0,1,0,1,0,3,4,1,0,2,3,8,4,1,1,2,0,7,1,2,1,2,4,1,2,2,0,0,0,2,2,1,3,3,3,3,3,2,3,2,3,3,2,2,2,2,3,1,0,2,2,2,2,2,2,2,2,4,4,4,4,2,2,1,38,3,2,6,0,0,2800,0,622304,보통1종 운전면허 인구 감소 감소 없다 경리직 없다 없다,경영학
1841,4,5,3,5,4,5,1,0,1,0,2,2,4,6,5,7,5,7,3,4,1,0,3,3,4,6,3,4,4,5,2,3,1,0,1,0,4,6,1,0,1,0,1,0,1,0,3,3,3,6,5,7,3,4,1,0,2,2,1,0,2,4,1,0,4,5,5,7,3,3,4,5,3,4,2,3,1,0,2,2,1,0,15,2,2,2,2,0,4,5,4,4,3,5,4,4,4,4,3,4,4,3,3,2,4,4,4,3,2,4,2,3,2,3,2,3,3,2,3,20,1,1,2,1,2,2,2,2,3,2,3,3,2,3,1,64,6,1,1,1,9000,0,6000,11102,공무원 선호 사람 때문 변화 없다 컴퓨터 전화기 없다 없다 없다,행정학과
1842,3,4,4,5,2,1,1,0,1,0,3,3,4,5,4,3,3,4,2,3,4,4,2,2,2,2,4,5,3,3,1,0,1,0,1,0,2,2,1,0,2,2,1,0,1,0,3,4,4,5,3,4,2,2,4,5,4,6,4,6,3,2,2,2,3,4,3,4,2,1,2,2,3,3,2,1,2,1,1,0,1,0,3,1,3,2,2,0,3,5,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,3,2,2,2,5,30,1,1,1,1,1,2,2,2,4,3,3,3,2,3,1,44,4,1,1,1,7400,0,5100,415202,컴퓨터 자동화 슈즈디자이너 포토샵 패션디자이너 실내디자이너 가구디자이너 없다,패션디자인
1843,2,2,3,4,3,4,1,0,1,0,1,0,4,5,2,2,2,2,3,4,1,0,3,5,5,6,2,2,2,2,1,0,1,0,1,0,2,3,1,0,1,0,1,0,1,0,2,2,3,4,4,5,1,0,4,5,3,4,4,5,4,6,1,0,3,4,1,0,2,2,3,4,2,3,4,5,2,2,4,6,3,4,3,1,5,1,1,2,6,5,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,2,2,3,4,2,4,4,2,3,2,3,2,4,50,1,1,1,2,2,2,2,2,4,5,3,3,4,4,1,40,4,1,1,1,5000,0,3000,26201,경영관리사 공인노무사 인사기획 조직분석 조직활성화 자동화 외주 화로 일자리 축소 인사 기획팀 조직문화개선 컨설팅 없다,영어영문학
1844,3,4,3,4,3,4,3,4,3,4,4,5,3,4,3,4,3,4,3,4,1,0,2,2,3,4,3,4,3,4,3,4,3,4,3,4,2,3,3,4,2,3,3,4,2,3,3,4,2,3,4,1,3,4,4,3,2,3,2,3,2,2,4,4,3,4,3,4,4,3,4,2,3,3,4,2,2,2,2,3,2,2,13,2,5,2,2,0,2,2,3,3,3,3,3,3,4,3,2,5,3,2,2,3,1,1,2,1,2,3,1,3,3,3,3,2,2,3,1,20,2,2,1,2,2,2,2,2,3,3,3,3,2,5,2,27,4,1,1,1,4300,0,3700,156101,섬유 관련 소비 하락 없다 섬유 원료 원단 없다 없다 없다,섬유공학
1845,2,3,2,2,3,4,1,0,1,0,2,4,2,2,3,4,2,2,2,4,1,0,2,3,2,2,2,2,2,2,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,2,3,2,2,2,3,2,2,2,2,2,2,1,0,2,2,1,0,2,2,2,2,1,0,1,0,1,0,1,0,4,4,1,0,4,5,3,1,2,2,2,0,7,2,2,3,2,4,2,2,2,2,3,4,4,3,4,4,2,2,3,2,3,4,2,3,3,4,4,2,3,1,2,40,2,1,2,2,2,2,2,2,3,3,2,2,2,3,2,45,2,1,1,1,2100,0,1700,27201,전산 시스템 구축 인원 감축 없다 컴퓨터 주부 없다 없다,인문계
1846,4,3,3,5,3,4,4,5,3,3,2,2,1,0,2,3,3,4,2,3,1,0,4,5,1,0,2,3,3,4,1,0,2,3,3,4,3,4,3,3,1,0,3,3,1,0,3,3,1,0,3,3,1,0,3,4,3,4,2,3,3,3,1,0,2,2,3,3,1,0,3,3,3,3,2,2,3,2,1,0,2,3,15,2,3,1,1,4,4,4,4,3,3,4,3,4,4,3,4,4,4,2,2,4,3,2,2,2,3,4,4,4,4,3,3,1,4,1,2,50,1,1,1,1,2,1,2,2,2,4,2,4,3,3,2,48,4,1,1,1,5300,0,2400,306101,임상병리사 임상병리관련 현장견습 기계 대신 선생님 채혈 진공 튜브 없다 없다,임상병리학
1847,2,3,1,0,2,2,1,0,1,0,2,3,2,2,1,0,1,0,2,3,3,5,3,6,2,2,2,2,2,2,1,0,1,0,1,0,4,6,1,0,4,6,3,4,3,4,3,4,1,0,2,2,2,2,3,3,1,0,1,0,2,2,1,0,2,3,2,3,3,4,2,3,3,4,3,4,3,4,2,2,2,2,10,1,2,1,2,0,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,3,2,4,50,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,32,3,1,1,1,2800,0,2600,134201,통신관련 동일 업종 없다 컴퓨터 케이블 제조업 없다 없다,회계
1848,4,4,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,4,3,3,3,5,3,4,3,3,3,3,4,4,3,5,4,4,3,4,3,3,3,4,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,4,3,3,3,3,3,4,4,5,3,3,1,0,2,3,6,1,2,1,2,0,6,5,4,4,4,3,3,4,3,4,4,4,4,2,3,2,4,4,3,3,4,3,3,3,4,3,3,3,3,2,2,25,1,1,1,2,1,2,2,2,4,5,4,3,3,3,1,55,4,1,1,1,4300,0,2500,140206,건설안전기사 건축물 대한 안전 규체 강조 때문 없다 컴퓨터 엑셀 없다 모름 없다,건축학
1849,4,3,4,5,4,6,3,4,5,6,4,5,5,6,5,6,5,6,4,6,2,3,4,5,4,5,4,6,5,6,1,0,1,0,2,2,5,6,1,0,1,0,3,4,3,4,5,6,4,5,5,6,4,5,4,5,3,4,4,5,4,5,4,5,4,5,4,4,4,5,4,5,3,4,4,5,4,5,3,5,2,2,3,1,4,1,1,4,6,5,3,1,1,4,3,4,3,3,3,3,3,3,3,4,2,3,3,3,3,4,3,4,3,4,3,3,4,2,6,50,2,2,2,2,2,2,2,2,4,4,3,3,3,2,1,36,4,1,1,1,4000,0,2400,28402,품질경영기사 외국어 영어 일본어 제품 생산 품질 없다 엑셀 동일 인증심사위원,통계학
1850,4,5,4,5,3,4,3,3,3,3,3,4,3,3,3,3,3,5,4,5,3,4,2,4,3,5,3,3,3,3,3,3,3,3,4,5,5,6,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,2,2,3,3,3,4,2,2,2,3,3,3,3,3,1,0,3,3,2,3,2,3,3,4,2,2,3,3,6,1,4,1,1,3,6,5,4,4,4,4,4,2,3,4,4,4,4,4,4,2,4,4,4,2,4,2,1,4,2,2,4,3,3,4,2,60,2,2,2,2,2,2,2,2,4,4,4,4,3,2,1,36,4,1,1,1,5500,0,3000,134201,정보처리기사 네트워크 설계 구축훈련 업무숙지 능력 배출 포화상태 없다 디눅스 엑셀 문서 프로그램 없다 없다 없다,컴퓨터공학
1851,1,0,1,0,3,3,1,0,3,2,2,4,1,0,1,0,2,3,1,0,1,0,2,2,3,2,4,5,2,2,4,5,3,3,1,0,2,4,3,3,3,2,1,0,1,0,1,0,2,1,1,0,1,0,4,6,4,3,4,6,2,3,1,0,1,0,3,3,2,3,1,0,3,3,2,2,1,0,1,0,3,2,1,4,1,2,2,0,6,1,3,3,3,4,4,2,3,0,0,0,3,1,2,4,2,2,2,3,3,3,3,3,4,4,4,4,4,2,6,0,2,2,2,2,2,2,2,2,4,5,3,4,2,3,2,57,2,2,6,0,0,3000,0,901101,귀농 증가 농업인 농부 비닐 호미 비료 자영업 없다 없다,문
1852,2,2,2,2,2,2,3,3,3,4,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,4,3,4,3,4,3,3,2,3,2,3,3,4,3,4,4,5,3,3,2,3,3,4,3,3,3,4,3,4,3,4,3,4,3,4,2,2,3,3,3,4,2,3,2,2,3,4,3,3,3,3,3,3,2,2,3,3,13,1,2,1,2,0,2,5,3,3,3,4,4,4,3,3,3,4,3,3,4,3,2,3,4,3,3,4,3,3,3,2,3,2,2,3,1,0,1,1,2,2,2,2,2,2,3,3,3,4,4,3,2,29,4,1,1,1,2300,0,1800,140201,전산응용건축제도기능사 건설업 경영 악화 요인 없다 없다 없다 없다,건축학
1853,3,4,3,3,1,0,1,0,1,0,2,3,3,4,3,5,4,6,4,5,1,0,3,5,2,3,3,4,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,6,4,6,4,6,3,5,4,6,2,3,1,0,3,3,1,0,3,5,4,6,4,6,4,6,4,6,5,6,4,6,3,4,3,4,3,1,2,1,1,1,1,5,3,5,5,5,5,5,4,4,4,4,4,3,2,2,4,5,3,2,1,2,2,2,3,2,2,2,3,2,2,70,1,1,1,2,2,2,2,2,3,3,3,4,2,4,1,50,4,1,1,1,3600,0,1800,851201,위험물자격 업종관련해서 현장 숙련교육 직무교육 경쟁 업체 통합 없다 컴퓨터 없다 없다 없다,화학
1854,4,5,5,5,3,4,3,7,4,5,3,5,5,6,5,5,4,6,5,7,5,4,4,5,3,5,3,5,3,5,5,7,5,7,4,6,4,6,1,0,3,4,1,0,5,7,5,7,3,4,3,4,4,6,5,7,4,6,4,5,4,5,4,6,3,4,4,6,3,4,4,5,3,4,3,4,5,7,3,4,4,6,3,1,1,2,1,3,7,2,5,2,2,3,4,4,4,0,0,0,4,3,3,2,2,5,2,3,3,4,3,2,3,2,2,2,2,2,6,10,2,2,2,2,2,2,2,2,4,5,4,3,3,3,1,61,2,2,5,0,0,3000,0,415101,공정순서 신제품 개발 저하 가격 경쟁력 없다 어도비 없다 없다 없다,전자
1855,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,3,3,1,0,1,0,1,0,3,4,3,3,1,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,1,0,1,0,1,0,18,1,2,2,1,4,4,4,4,4,3,3,4,2,4,0,3,4,4,2,2,2,3,3,4,2,4,3,1,5,2,2,4,2,3,2,4,20,2,1,2,2,2,2,2,2,4,4,4,3,3,2,1,23,3,1,2,2,4000,0,2700,420202,순발력훈련 끈기 타이밍타악 종사 직업 없다 게임 장비 없다 없다 없다,게임학
1856,5,6,4,5,4,6,4,5,4,5,4,5,4,5,5,7,5,6,3,4,2,2,4,6,4,6,2,2,3,4,1,0,1,0,2,2,2,2,2,2,2,2,2,2,4,5,4,5,4,6,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,2,3,2,2,3,4,4,5,2,2,3,4,15,2,6,1,1,1,5,6,4,1,1,4,4,3,3,2,3,3,3,3,3,2,4,3,4,2,3,3,2,2,2,2,3,3,2,3,1,10,2,2,2,2,2,2,2,2,4,4,3,3,3,3,2,30,6,1,1,1,4000,0,3000,121105,지질기사 지질학적 지식의 현장적용 자원 대한 관심 때문 없다 주베 없다 없다 없다,지질학
1857,3,4,3,4,3,4,3,4,3,3,2,3,3,4,3,4,3,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,2,3,3,4,2,2,2,3,2,3,2,3,2,3,3,1,2,2,2,0,7,2,3,3,2,4,4,3,3,3,4,3,3,3,2,3,3,2,4,3,5,5,5,5,3,4,4,3,1,3,1,0,2,2,2,2,2,2,2,2,3,3,3,3,1,2,1,38,2,1,1,1,3500,0,1800,822101,신소재 대체 재료 개발 확대 없다 그라인더 용접 드릴 고무 망치 기계 없다 도장공 없다,인문계
1858,3,3,3,3,3,4,1,0,1,0,4,5,3,4,2,3,2,3,3,4,1,0,3,4,2,3,3,3,2,3,4,5,1,0,1,0,2,3,1,0,1,0,1,0,1,0,3,3,2,1,2,2,3,3,2,3,2,2,2,3,3,4,1,0,3,5,4,5,3,3,3,3,3,3,2,3,3,3,1,0,2,2,18,4,1,2,2,0,5,5,4,3,3,4,4,2,3,0,0,0,3,4,3,2,4,4,4,4,3,3,3,3,3,2,3,3,2,3,1,0,2,2,2,2,2,2,2,2,3,3,4,3,3,3,2,48,5,1,4,2,5500,0,2500,414702,상황 유지 없다 매트 다리 배경음악 프로파일 없다 없다 없다,무용학
1859,4,4,3,3,3,3,2,2,3,3,2,2,2,2,3,3,3,3,3,3,1,0,1,0,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,0,3,4,2,2,3,3,3,3,2,2,1,0,1,0,1,0,2,2,3,3,3,3,2,2,3,3,2,2,1,0,3,3,3,3,3,3,13,1,3,2,2,0,1,2,4,1,1,5,3,4,3,0,0,3,3,4,3,3,4,3,4,3,4,4,1,3,3,2,4,3,3,3,3,10,2,2,2,2,2,2,2,2,4,4,3,3,3,3,2,43,4,2,5,0,0,6500,0,13902,여론조사 중요성 증가 관리자 수요 변화 무량 증가 없다 워드 엑셀 없다 없다 없다,경영학
1860,4,6,4,6,4,6,1,0,1,0,3,4,3,4,4,6,4,6,4,6,2,3,3,4,3,4,3,4,4,5,1,0,1,0,1,0,4,6,1,0,1,0,1,0,1,0,5,7,4,6,2,3,2,2,3,4,1,0,1,0,3,4,2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,5,1,0,3,7,15,2,4,1,2,0,7,4,4,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,4,3,4,3,2,2,2,2,2,2,3,4,4,30,2,2,2,2,2,2,2,2,5,5,2,3,2,2,2,33,4,1,1,1,3500,0,2500,413202,기록물관리사 전산 자동화 없다 총무사무원 없다 없다,문헌정보
1861,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,0,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,2,3,3,3,3,3,3,2,2,1,0,2,2,2,2,3,3,2,2,1,0,2,2,2,2,2,2,2,2,1,0,1,0,14,1,2,1,2,0,1,2,3,2,2,4,2,4,3,4,4,5,4,4,3,3,4,4,3,3,3,1,2,2,3,2,3,4,3,4,3,40,2,2,1,2,2,2,2,2,4,3,4,3,3,3,1,34,3,1,1,1,3000,0,2400,541301,운전면허증 고급 빌라 아파트 관리 무인 경비 시스템 이용 경비원 가스총 없다 없다 없다,경호학
1862,2,2,2,2,3,3,4,5,4,5,2,2,3,3,3,4,3,3,2,2,1,0,4,5,4,6,4,6,4,5,5,6,5,6,3,4,1,0,4,5,3,4,3,4,1,0,2,2,1,0,2,2,1,0,3,4,2,2,1,0,4,5,1,0,1,0,4,5,1,0,1,0,3,3,2,2,1,0,1,0,2,2,6,4,1,2,2,0,4,2,3,2,1,3,3,2,3,2,3,3,3,2,1,2,1,1,2,4,3,3,3,2,3,3,3,1,4,2,2,35,1,2,1,2,2,2,2,2,4,3,2,2,2,2,1,49,2,1,4,2,5000,0,2300,702401,대한 기피 현상 없다 타일 각도기 라인 망치 없다 없다 없다,인문고
1863,3,5,3,5,3,2,1,0,2,3,2,2,2,2,4,5,4,6,3,3,3,5,2,3,3,3,3,4,3,3,2,2,2,1,1,0,4,5,1,0,1,0,2,1,3,3,3,3,2,2,3,5,2,4,3,4,2,3,2,4,2,4,2,4,2,5,2,4,2,4,3,4,2,5,3,4,2,3,2,2,2,2,3,1,5,2,1,2,2,5,3,3,3,3,4,3,3,3,3,2,3,3,3,3,2,2,4,2,3,3,2,3,4,3,3,3,2,3,2,44,2,2,1,2,2,2,2,2,3,3,3,2,3,3,2,29,4,1,1,1,4000,0,2400,157101,식품연구에 관련된 훈련 식품 관련 분야 관심 분야 없다 식품 재료 실험 도구 컴퓨터 없다 없다 없다,경영
1864,4,5,3,4,4,5,3,3,2,3,2,3,3,4,3,4,3,3,2,4,4,5,4,6,3,4,2,3,2,3,2,2,2,2,1,0,3,5,1,0,1,0,1,0,1,0,3,4,3,3,2,3,3,3,2,3,2,2,3,4,2,3,1,0,2,3,2,3,2,3,2,2,2,3,2,3,2,3,1,0,1,0,3,1,2,2,1,3,5,4,4,3,4,4,4,3,3,4,4,4,4,4,3,2,4,4,4,3,3,3,3,4,3,2,3,3,2,3,6,0,2,1,2,2,2,2,2,2,4,4,4,4,2,3,1,59,4,1,1,1,6000,0,2300,415404,디자인 컨셉 고객이 원할 방향을 찾는 방법 산업 구조 변화 현상 유지 없다 포토샵 일러스트 없다 없다 없다,산업디자인
1865,2,3,3,3,3,3,1,0,1,0,2,3,2,3,3,4,3,4,3,4,5,6,4,6,2,2,3,4,3,4,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,4,4,1,0,3,4,3,4,3,4,1,0,1,0,1,0,1,0,3,4,4,5,3,4,3,4,3,3,3,4,3,4,2,2,2,2,3,1,2,2,1,2,3,3,3,3,3,3,3,3,3,3,4,4,3,2,3,3,3,3,4,2,4,3,2,2,3,2,2,1,3,2,2,40,1,1,1,1,1,1,2,2,3,3,2,4,3,4,1,33,2,1,1,1,3800,0,2000,153201,네트웍크 관련규정 법규 전산 자동화 업무 감소 없다 컴퓨터 계측기 캐드 없다 없다 없다,시각디자인
1866,3,3,4,6,4,5,1,0,4,4,4,4,3,4,1,0,4,5,3,2,3,4,4,6,3,2,3,6,4,5,3,3,1,0,1,0,2,1,1,0,1,0,1,0,1,0,4,4,3,4,3,5,3,3,3,5,3,3,3,2,3,2,1,0,3,2,3,2,3,2,3,2,2,2,1,0,1,0,2,2,1,0,10,2,5,2,1,4,5,5,5,5,4,5,5,4,3,3,3,3,3,3,3,2,4,4,3,3,3,2,2,3,2,2,2,1,2,2,2,10,2,2,2,2,1,2,2,2,3,3,4,3,3,2,2,30,4,1,1,1,3900,0,2400,416301,발성발음 뉴스 진행 등등 대체 매체 증가 아나운서 앵커 진행자 사회자 엠씨 디제이 방송인 마이크 대본 노트북 방송인 교수 강사홍보 없다,정치외교학
